indie,action,casual,adventure,strategy,simulation,rpg,free_to_play,cluster,color
1,7,1,2,1,1,2,5,0,red
2,0,0,0,0,4,0,0,0,red
0,3,0,0,0,0,0,0,0,red
1,7,0,4,2,0,0,1,0,red
4,12,0,2,5,0,3,4,0,red
1,2,0,0,1,1,0,1,0,red
2,6,0,3,4,5,2,2,0,red
72,73,11,37,19,14,22,6,2,peru
0,3,0,0,0,0,0,1,0,red
0,5,0,0,0,0,0,0,0,red
10,30,1,13,7,4,8,4,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
0,6,0,1,0,0,0,0,0,red
2,13,0,3,1,1,3,1,0,red
1,6,0,0,0,1,0,1,0,red
40,43,9,21,20,15,20,11,2,peru
32,30,3,12,8,7,11,6,1,dodgerblue
6,10,2,5,5,4,5,5,0,red
8,16,1,6,1,1,5,2,0,red
0,3,0,0,2,0,2,1,0,red
43,57,7,27,5,2,15,3,1,dodgerblue
0,2,0,1,0,0,0,0,0,red
27,26,2,23,7,5,16,2,1,dodgerblue
6,12,1,5,2,6,6,0,0,red
2,7,3,4,1,1,3,3,0,red
0,9,1,4,1,0,0,1,0,red
0,2,0,0,0,0,0,0,0,red
13,20,4,13,11,8,6,3,1,dodgerblue
11,34,1,12,7,3,8,4,1,dodgerblue
2,4,1,0,0,1,0,2,0,red
10,14,2,4,3,2,5,1,0,red
0,3,0,0,1,0,0,2,0,red
0,3,0,1,1,0,0,1,0,red
0,2,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,1,0,red
0,4,0,1,0,0,0,3,0,red
31,34,7,29,9,4,15,5,1,dodgerblue
8,15,4,3,2,2,3,7,0,red
4,21,1,7,2,1,1,2,0,red
0,3,0,0,0,0,0,1,0,red
38,36,11,29,8,7,12,2,1,dodgerblue
2,6,0,1,2,0,0,2,0,red
6,13,0,5,4,3,7,2,0,red
76,79,17,38,23,17,24,5,2,peru
58,49,11,21,18,10,17,4,2,peru
0,2,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,0,0,red
0,9,0,1,1,1,2,2,0,red
0,2,0,0,0,0,0,0,0,red
0,3,0,1,0,0,1,0,0,red
3,9,1,2,0,0,0,1,0,red
0,4,0,0,1,0,1,1,0,red
1,9,0,1,1,0,0,2,0,red
0,2,0,1,0,0,0,0,0,red
9,17,3,6,3,3,6,5,1,dodgerblue
0,1,0,0,2,0,0,0,0,red
0,4,0,1,1,2,1,2,0,red
7,16,2,6,3,1,2,5,0,red
4,8,1,3,2,2,2,3,0,red
2,2,0,1,1,0,1,0,0,red
36,72,6,30,15,7,13,4,2,peru
2,4,1,2,1,0,3,2,0,red
0,3,0,0,0,0,1,1,0,red
9,20,0,8,4,4,8,3,1,dodgerblue
0,6,0,0,1,0,2,4,0,red
1,2,0,0,0,1,1,2,0,red
24,21,5,10,2,3,7,7,1,dodgerblue
0,2,0,0,2,0,0,1,0,red
0,2,0,0,1,0,0,1,0,red
10,21,5,16,5,5,12,4,1,dodgerblue
1,6,0,5,0,0,3,0,0,red
1,0,0,0,5,3,2,0,0,red
0,4,0,1,1,1,0,0,0,red
0,2,0,0,0,0,0,1,0,red
18,24,6,13,2,4,19,24,1,dodgerblue
0,3,0,0,0,0,0,1,0,red
3,1,2,2,1,1,0,0,0,red
0,2,0,0,0,0,0,1,0,red
15,29,4,20,7,6,14,1,1,dodgerblue
0,3,0,0,0,0,0,1,0,red
0,4,0,0,0,0,0,1,0,red
1,8,0,4,1,1,1,0,0,red
5,15,0,3,3,1,3,3,0,red
0,4,0,0,0,0,0,0,0,red
1,3,0,0,0,1,0,0,0,red
1,1,0,1,0,1,1,0,0,red
39,52,6,27,29,14,24,6,2,peru
0,4,0,0,0,1,0,1,0,red
0,2,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,1,0,red
0,3,0,0,0,0,0,0,0,red
0,1,0,1,1,0,0,0,0,red
2,4,1,2,2,2,0,0,0,red
0,4,0,0,1,0,0,1,0,red
5,10,2,1,2,0,1,1,0,red
0,3,0,0,0,0,0,0,0,red
2,2,0,0,3,0,1,0,0,red
1,4,0,1,1,1,0,1,0,red
2,6,0,5,10,13,5,1,1,dodgerblue
10,25,1,6,5,2,7,9,1,dodgerblue
2,3,0,1,0,1,1,2,0,red
1,2,0,0,1,0,1,0,0,red
2,1,2,0,3,2,1,1,0,red
9,20,2,21,5,1,7,1,1,dodgerblue
24,25,4,9,3,1,11,6,1,dodgerblue
0,2,0,0,0,0,0,1,0,red
16,26,3,8,4,2,7,12,1,dodgerblue
4,11,1,1,4,2,7,3,0,red
0,2,0,0,0,0,0,0,0,red
1,6,0,3,0,0,0,1,0,red
17,44,7,14,10,5,8,9,1,dodgerblue
17,28,5,11,23,17,12,6,1,dodgerblue
0,3,0,0,0,0,0,1,0,red
2,5,1,3,0,0,0,2,0,red
28,46,4,23,10,17,18,6,1,dodgerblue
1,6,0,1,0,1,0,1,0,red
27,29,6,11,29,19,25,11,2,peru
0,5,0,0,0,0,1,0,0,red
1,3,1,1,2,0,2,0,0,red
1,6,0,0,1,0,0,3,0,red
0,4,0,0,0,0,1,2,0,red
0,3,0,0,1,1,0,2,0,red
7,37,1,14,2,2,9,3,1,dodgerblue
3,7,0,3,1,1,3,2,0,red
3,10,0,5,1,0,2,1,0,red
0,2,0,0,0,0,0,1,0,red
1,4,0,0,1,0,0,1,0,red
17,27,3,15,12,3,11,3,1,dodgerblue
5,13,2,7,2,5,3,2,0,red
8,15,5,10,9,2,11,8,1,dodgerblue
