controller_support,dlc,website,pc,mac,linux,demos,reviews,movies,recommendations,achievements,developer,publisher,positive,negative,initialprice,language_count,metacritic_score,single_player,multi_player,online_multi_player,local_multi_player,valve_anti_cheat,steam_achievements,steam_trading_cards,steam_cloud,full_controller_support,partial_controller_support,steam_leaderboards,indie,action,casual,adventure,strategy,simulation,early access,rpg,free_to_play,racing,sports,violent,gore,sexual_content,nudity,education,self_published,label
0,21,1,1,1,1,0,0,1,1,1,Tripwire Interactive,Tripwire Interactive,53710,2649,19.99,8,0.0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,0,1,0,0,0,0,0,1,1,Ritual Entertainment,Ritual Entertainment,468,61,9.99,3,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,1,1,1,1,1,0,1,1,1,Introversion Software,Introversion Software,472,158,9.99,2,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12
0,0,1,0,0,0,0,0,0,1,1,Introversion Software,Introversion Software,1602,152,9.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12
0,0,1,1,1,1,1,0,0,1,1,Introversion Software,Introversion Software,2057,344,9.99,5,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12
0,0,1,1,1,1,1,0,0,1,1,Introversion Software,Introversion Software,368,75,9.99,5,0.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
0,0,1,1,0,0,0,0,0,1,1,Sonalysts,Strategy First,140,44,29.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,1,0,0,0,0,0,1,1,Malfador Machinations,Strategy First,112,26,9.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,1,1,0,0,0,0,0,1,1,Strategy First,Strategy First,451,108,6.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,1,1,0,0,0,0,0,1,1,Strategy First,Strategy First,490,152,6.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
